joint_RFCoxa_yaw,joint_RFCoxa,joint_RFCoxa_roll,joint_RFFemur,joint_RFFemur_roll,joint_RFTibia,joint_RFTarsus1,joint_LFCoxa_yaw,joint_LFCoxa,joint_LFCoxa_roll,joint_LFFemur,joint_LFFemur_roll,joint_LFTibia,joint_LFTarsus1,joint_RMCoxa_yaw,joint_RMCoxa,joint_RMCoxa_roll,joint_RMFemur,joint_RMFemur_roll,joint_RMTibia,joint_RMTarsus1,joint_LMCoxa_yaw,joint_LMCoxa,joint_LMCoxa_roll,joint_LMFemur,joint_LMFemur_roll,joint_LMTibia,joint_LMTarsus1,joint_RHCoxa_yaw,joint_RHCoxa,joint_RHCoxa_roll,joint_RHFemur,joint_RHFemur_roll,joint_RHTibia,joint_RHTarsus1,joint_LHCoxa_yaw,joint_LHCoxa,joint_LHCoxa_roll,joint_LHFemur,joint_LHFemur_roll,joint_LHTibia,joint_LHTarsus1
0.110106,0.610197,-1.321094,-2.608808,-0.916730,2.100722,-0.414764,-0.110106,0.610197,1.321094,-2.608808,0.916730,2.100722,-0.414764,-0.800527,0.402186,-1.871687,-1.443255,0.198057,1.988900,-0.573037,0.800527,0.402186,1.871687,-1.443255,-0.198057,1.988900,-0.573037,-0.429627,0.492218,-2.494781,-1.527801,0.413170,1.390487,0.048730,0.429627,0.492218,2.494781,-1.527801,-0.413170,1.390487,0.048730
0.163430,0.574311,-1.295659,-2.689655,-0.880199,2.039987,-0.419325,-0.163430,0.574311,1.295659,-2.689655,0.880199,2.039987,-0.419325,-0.804503,0.372121,-1.880420,-1.488243,0.149447,2.017175,-0.652499,0.804503,0.372121,1.880420,-1.488243,-0.149447,2.017175,-0.652499,-0.434035,0.478913,-2.419025,-1.662178,0.413941,1.560492,0.048398,0.434035,0.478913,2.419025,-1.662178,-0.413941,1.560492,0.048398
0.186195,0.533416,-1.247215,-2.734195,-0.868735,1.973840,-0.463430,-0.186195,0.533416,1.247215,-2.734195,0.868735,1.973840,-0.463430,-0.806355,0.348123,-1.884242,-1.529319,0.055257,2.041225,-0.752905,0.806355,0.348123,1.884242,-1.529319,-0.055257,2.041225,-0.752905,-0.426128,0.444248,-2.344237,-1.791883,0.416769,1.708370,0.045859,0.426128,0.444248,2.344237,-1.791883,-0.416769,1.708370,0.045859
0.177522,0.484301,-1.187176,-2.736789,-0.886830,1.908213,-0.535203,-0.177522,0.484301,1.187176,-2.736789,0.886830,1.908213,-0.535203,-0.801530,0.321885,-1.886938,-1.569762,-0.081365,2.054631,-0.851099,0.801530,0.321885,1.886938,-1.569762,0.081365,2.054631,-0.851099,-0.406659,0.392966,-2.279557,-1.903237,0.414006,1.839615,0.030213,0.406659,0.392966,2.279557,-1.903237,-0.414006,1.839615,0.030213
0.137522,0.428904,-1.124718,-2.696542,-0.924869,1.844503,-0.611403,-0.137522,0.428904,1.124718,-2.696542,0.924869,1.844503,-0.611403,-0.788513,0.286024,-1.891466,-1.608681,-0.232959,2.050733,-0.920665,0.788513,0.286024,1.891466,-1.608681,0.232959,2.050733,-0.920665,-0.382250,0.336168,-2.231599,-1.988135,0.397412,1.961502,0.000717,0.382250,0.336168,2.231599,-1.988135,-0.397412,1.961502,0.000717
0.074111,0.373847,-1.061693,-2.618927,-0.957302,1.778900,-0.681003,-0.074111,0.373847,1.061693,-2.618927,0.957302,1.778900,-0.681003,-0.770426,0.241374,-1.897376,-1.638702,-0.360301,2.030265,-0.948858,0.770426,0.241374,1.897376,-1.638702,0.360301,2.030265,-0.948858,-0.360533,0.287865,-2.205505,-2.045156,0.364637,2.073240,-0.028898,0.360533,0.287865,2.205505,-2.045156,-0.364637,2.073240,-0.028898
0.004123,0.327727,-0.996965,-2.513529,-0.965910,1.703282,-0.746093,-0.004123,0.327727,0.996965,-2.513529,0.965910,1.703282,-0.746093,-0.753447,0.196338,-1.902227,-1.648524,-0.440978,2.001824,-0.944328,0.753447,0.196338,1.902227,-1.648524,0.440978,2.001824,-0.944328,-0.346831,0.260050,-2.202643,-2.077917,0.324666,2.167625,-0.043235,0.346831,0.260050,2.202643,-2.077917,-0.324666,2.167625,-0.043235
-0.055035,0.294025,-0.932033,-2.391293,-0.951998,1.612341,-0.802813,0.055035,0.294025,0.932033,-2.391293,0.951998,1.612341,-0.802813,-0.742892,0.160488,-1.904589,-1.628864,-0.477228,1.973723,-0.925890,0.742892,0.160488,1.904589,-1.628864,0.477228,1.973723,-0.925890,-0.342615,0.256932,-2.218992,-2.091760,0.291231,2.238845,-0.041524,0.342615,0.256932,2.218992,-2.091760,-0.291231,2.238845,-0.041524
-0.094773,0.269954,-0.871976,-2.263766,-0.925969,1.511623,-0.839514,0.094773,0.269954,0.871976,-2.263766,0.925969,1.511623,-0.839514,-0.740140,0.136521,-1.905040,-1.577165,-0.479391,1.950024,-0.907867,0.740140,0.136521,1.905040,-1.577165,0.479391,1.950024,-0.907867,-0.344877,0.273866,-2.248292,-2.092557,0.270950,2.286426,-0.034035,0.344877,0.273866,2.248292,-2.092557,-0.270950,2.286426,-0.034035
-0.119077,0.248778,-0.819633,-2.137374,-0.893190,1.418236,-0.854955,0.119077,0.248778,0.819633,-2.137374,0.893190,1.418236,-0.854955,-0.743521,0.118585,-1.905010,-1.498593,-0.455136,1.930111,-0.897408,0.743521,0.118585,1.905010,-1.498593,0.455136,1.930111,-0.897408,-0.346794,0.300057,-2.284293,-2.088129,0.260899,2.313474,-0.030195,0.346794,0.300057,2.284293,-2.088129,-0.260899,2.313474,-0.030195
